SiO2,TiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Cr,Hf,Nb,Ni,Rb,Sr,Ta,Th,U,Y,Zr,Tectonic_Setting,LATITUDE,LONGITUDE
51.336666666666666,1.1704999999999999,15.213333333333333,8.773333333333333,0.15236666666666668,7.89,12.093333333333334,2.5366666666666666,0.07390000000000001,0.08986666666666666,2.343739939850004,7.651538770671192,1.3171231233693257,7.306379969789082,2.69508859702801,1.0261005948241613,3.756905454054762,0.6673936145923097,4.578370879927306,0.9865159391882171,2.8707939921314423,0.40236042467999994,2.754831123340684,0.4055441530419988,8.648595557576323,387.4667864074558,1.8391134787414438,1.3192251408267521,100.77819407208152,0.8935068607134097,101.48160519792661,0.08400286318444794,0.10237138266714012,0.03728694138053094,25.565734260548485,64.05461419017662,MORB,-15.73,67.27
51.1725,1.1348249999999998,15.257499999999999,9.015,0.1665,7.8675,12.082500000000001,2.55,0.07515,0.08825,2.3992496808588775,7.811841170897309,1.3419887258182979,7.583024117552751,2.6990598420033898,1.0319084103389742,3.8080299515177862,0.6905178655303038,4.640321088401053,1.0247283361093533,2.953002914992467,0.4255077147803094,2.8619010223921806,0.4252567278972954,8.81111442381426,394.97009665121755,1.9253024925435476,1.2996993106076598,103.83264794161688,0.9322678662056747,103.32915956437985,0.08804467609217499,0.11027373740305448,0.036268794069615425,25.976057512584887,64.67119825238949,MORB,-15.73,67.27
51.182500000000005,1.134525,15.295,8.817499999999999,0.186225,7.977499999999999,12.0625,2.5299999999999994,0.080375,0.08107500000000001,2.3445995327147613,7.57396725884542,1.3034393978046497,7.365244622235007,2.666478091479882,1.0369359088442323,3.7637160159784386,0.6669675052278815,4.52077129591062,0.9891270716501279,2.885229118610875,0.4035109833971178,2.7835846158016797,0.40523930110645695,8.57640303186188,385.0292986085637,1.8665835008082505,1.3115557833343032,104.29026023912229,0.9115331347483274,102.12501470415889,0.0875570502637637,0.10432491541471667,0.035355164325947985,25.472877470620066,63.17959502437825,MORB,-15.73,67.27
50.580000000000005,1.269125,15.385000000000002,9.259999999999998,0.1834,7.3325,11.8675,2.9499999999999997,0.2048,0.129875,4.573581045209344,12.321499102085303,1.8744807457806874,9.544071689832407,3.0745731692432887,1.142948187086643,3.95077304917073,0.7160884977691894,4.713091727103719,1.0260494143033105,3.037736983922555,0.42620173407240936,2.9317789849996125,0.4394936768168831,32.64444858484121,312.7882618973659,2.2031644279553952,4.2664722740418854,77.54055244484526,3.4389894140351553,147.61338251196278,0.2655267885754291,0.38302956264501403,0.11669959816035136,26.092644485073,80.37150279604082,MORB,-16.9,66.8
50.622499999999995,1.2207000000000001,15.5425,9.182500000000001,0.16909999999999997,7.5125,11.86,2.935,0.19145,0.125925,4.319611118113921,11.807884793265979,1.8092233314700887,9.273707006524695,2.9460251443959558,1.1192464820175028,3.8430482720754213,0.685572706375229,4.580069645717674,0.9787599348921378,2.8481227466266783,0.4021256022350688,2.7823671066546027,0.41284959300140556,30.860743719978014,315.66505181434337,2.068078123495557,3.986855103419716,81.36132246238579,3.250613150979053,144.59546899120247,0.23772621652671896,0.34200017881830447,0.1047874142940024,25.66266367500756,77.53181790965577,MORB,-16.9,66.8
50.673333333333325,1.2163000000000002,15.516666666666666,9.129999999999999,0.1858666666666667,7.489999999999999,11.783333333333333,2.9299999999999997,0.20026666666666668,0.13963333333333333,4.1625083557775975,11.313277349254287,1.7407920548279392,8.817675241448647,2.8453809619827726,1.0926574724331888,3.761283033041677,0.6621675336073405,4.431960766292156,0.954479688599632,2.758043483942774,0.39015971022794466,2.6837775707067704,0.3928249537693276,29.972977927218796,308.5495531333294,1.9917728945493895,3.907842579978027,78.20009386821322,3.265290126161192,145.40177792454256,0.2311153876894058,0.33314950540570215,0.10361997021767244,24.59596151301996,74.64594966552717,MORB,-16.9,66.8
51.49,1.78,14.93,10.18,0.19,7.21,10.73,3.02,0.268,0.188,7.88,19.9,2.9,14.64,4.65,1.64,5.96,1.01,6.75,1.43,4.13,0.58,3.86,0.58,66.1,208,3.51,9.33,88,5.12,165,0.578,0.625,0.187,38,134,MORB,15.412,-46.682
51.43,1.78,15.01,10.14,0.189,7.23,10.75,3.01,0.267,0.186,7.84,19.88,2.89,14.68,4.58,1.64,5.89,1,6.62,1.41,4.06,0.58,3.8,0.57,65.9,206,3.43,9.4,89,5.1,166,0.568,0.605,0.186,38,133,MORB,15.412,-46.682
52.59,1.7,14.91,9.89,0.185,6.95,10.44,2.88,0.264,0.186,7.31,19.16,2.77,13.85,4.33,1.58,5.38,0.92,6.14,1.29,3.76,0.54,3.58,0.53,63.6,201,3.17,9.13,85,4.94,164,0.537,0.553,0.164,35,123,MORB,15.41,-46.68
52.44,1.71,14.95,9.92,0.186,6.96,10.49,2.89,0.264,0.187,7.56,19.61,2.84,14.26,4.45,1.61,5.56,0.95,6.35,1.35,3.88,0.56,3.66,0.54,64.7,201,3.28,9.33,86,5.08,163,0.553,0.567,0.169,36,128,MORB,15.41,-46.68
51.95,1.75,15.08,9.92,0.186,7.03,10.71,2.94,0.27,0.177,7.79,20.01,2.92,14.68,4.56,1.65,5.71,0.98,6.53,1.37,3.99,0.57,3.76,0.56,66,204,3.35,9.54,86,5.17,167,0.566,0.584,0.17,37,130,MORB,15.41,-46.68
52.3,1.72,14.91,9.94,0.186,7.04,10.53,2.93,0.27,0.182,7.61,19.86,2.86,14.31,4.42,1.62,5.52,0.95,6.27,1.32,3.82,0.54,3.62,0.53,65.3,201,3.24,9.35,85,5.18,165,0.548,0.562,0.174,36,127,MORB,15.41,-46.68
52.49,1.71,14.87,9.88,0.185,7.04,10.45,2.92,0.269,0.185,7.31,19.29,2.76,13.77,4.25,1.57,5.27,0.91,5.99,1.27,3.67,0.52,3.46,0.51,63.7,201,3.09,9.09,87,5.06,160,0.523,0.538,0.162,35,122,MORB,15.41,-46.68
52.75,1.71,14.63,9.96,0.187,7.05,10.33,2.92,0.27,0.188,7.3,19.19,2.75,13.72,4.23,1.56,5.33,0.91,6.04,1.28,3.7,0.53,3.51,0.52,63.4,202,3.15,9.1,87,5.05,159,0.532,0.543,0.163,35,123,MORB,15.41,-46.68
52.08,1.73,15.22,9.86,0.184,6.99,10.57,2.91,0.268,0.181,7.51,19.6,2.82,14.11,4.35,1.6,5.46,0.94,6.17,1.31,3.79,0.54,3.55,0.53,64.7,200,3.21,9.27,86,5.11,164,0.541,0.553,0.166,36,126,MORB,15.41,-46.68
